2022-09-07+02:00 20:25:16
SRC_ADDR                  | DST_ADDR                  | SRC_PORT        | DST_PORT        | TOTAL_BYTES     | START_TIMESTAMP                | END_TIMESTAMP                  | PROTOCOL  
192.168.1.1               | 10.0.2.15                 | 53              | 59842           | 84              | 1662574634.595186              | 1662574634.595186              | UDP                            
10.0.2.15                 | 192.168.1.1               | 32981           | 53              | 100             | 1662574619.754913              | 1662574619.754913              | UDP                            
10.0.2.15                 | 192.168.1.1               | 60352           | 53              | 83              | 1662574683.997355              | 1662574683.997355              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 54221           | 158             | 1662574613.748526              | 1662574613.748526              | UDP                            
10.0.2.15                 | 192.168.1.1               | 38023           | 53              | 98              | 1662574718.396128              | 1662574718.396128              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 39012           | 114             | 1662574718.491035              | 1662574718.491035              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55684           | 129             | 1662574727.220974              | 1662574727.220974              | UDP                            
10.0.2.15                 | 192.168.1.1               | 34362           | 53              | 114             | 1662574635.471753              | 1662574635.471753              | UDP                            
10.0.2.15                 | 192.168.1.1               | 59576           | 53              | 106             | 1662574618.825168              | 1662574618.825168              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 46684           | 94              | 1662574613.748367              | 1662574613.748367              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 39004           | 94              | 1662574646.856817              | 1662574646.856817              | UDP                            
20.189.173.14             | 10.0.2.15                 | 443             | 54708           | 6337            | 1662574727.451059              | 1662574728.059259              | TCP                            
10.0.2.15                 | 192.168.1.1               | 34055           | 53              | 93              | 1662574621.110581              | 1662574621.110581              | UDP                            
10.0.2.15                 | 192.168.1.1               | 54871           | 53              | 205             | 1662574735.331673              | 1662574735.357151              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 54871           | 385             | 1662574735.356888              | 1662574735.375943              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 49779           | 94              | 1662574618.491613              | 1662574618.491613              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 58433           | 81              | 1662574613.756064              | 1662574613.756064              | UDP                            
10.0.2.15                 | 192.168.1.1               | 40768           | 53              | 86              | 1662574623.647444              | 1662574623.647444              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 42701           | 164             | 1662574613.749181              | 1662574613.749181              | UDP                            
10.0.2.15                 | 192.168.1.1               | 42873           | 53              | 91              | 1662574625.130477              | 1662574625.130477              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55786           | 94              | 1662574643.025452              | 1662574643.025452              | UDP                            
